studyid,site,treatment,collection_date,sample size (reps),planting density (shoots / area),tank volume (L),light hours,dark hours,surface_irradiance,si_units,penetrating irradiance,pi_units,%SI,mean DLI (mol m-2day-1),temperature_c,salinity_psu,pH,turbidity (NTU),NO3 addition,target NO3,measured NO3,NH4 addition,target NH4,measured NH4,measured DIN,added PO4,measured PO4,grain size (µM),DIC,% organic matter,Fe content,sulphide,driver notes,other covariates,light-temperature,exp setup,seasonal data?,pen_light,surface_light,light_hours,mean_dli,author,pub_year,lat,lon,DLI,clean_temp,parsed_collection_date
57,"Koje Bay, Korea",Control - Fall,2003-10 (field study),3,868.771431569207 / (1.5 x 1.5 m),field exp,field conditions,field conditions,calculate,np,yes,np,52.9,14.5,mean: 16.0; range: 10.9 to 19.8,np,np,np,np,np,np,np,np,can get from Fig 4 if average over time,didn't check,NA,np,np,np,np,np,np,raw daily light and porewater NH4 data available; unclear direction of effect on NH4 and Zm response,NA,light,field manipulation,"yes - but not using correlated env as of now, would need to extract",NA,NA,NA,14.5,Kim et al.,2015,34.48,128.35,14.5,16,2003-10-01
57,"Koje Bay, Korea",Shaded - Fall,2003-10 (field study),3,871.988508965745 / (1.5 x 1.5 m),field exp,field conditions,field conditions,calculate,np,yes,np,5.7,1.5,mean: 16.0; range: 10.9 to 19.8,np,np,np,np,np,np,np,np,can get from Fig 4 if average over time,didn't check,NA,np,np,np,np,np,np,raw daily light and porewater NH4 data available; unclear direction of effect on NH4 and Zm response,NA,light,field manipulation,"yes - but not using correlated env as of now, would need to extract",NA,NA,NA,1.5,Kim et al.,2015,34.48,128.35,1.5,16,2003-10-01
57,"Koje Bay, Korea",Control - Winter,2004-01 (field study),3,1489.92515317696 / (1.5 x 1.5 m),field exp,field conditions,field conditions,calculate,np,yes,np,38.200000000000003,25.6,mean: 8.2; range: 4.4 to 11.0,np,np,np,np,np,np,np,np,can get from Fig 4 if average over time,didn't check,NA,np,np,np,np,np,np,raw daily light and porewater NH4 data available; unclear direction of effect on NH4 and Zm response,NA,light,field manipulation,"yes - but not using correlated env as of now, would need to extract",NA,NA,NA,25.6,Kim et al.,2015,34.48,128.35,25.6,8.2,2004-01-01
57,"Koje Bay, Korea",Shaded - Winter,2004-01 (field study),3,1486.70764995946 / (1.5 x 1.5 m),field exp,field conditions,field conditions,calculate,np,yes,np,9.8000000000000007,4.4000000000000004,mean: 8.2; range: 4.4 to 11.0,np,np,np,np,np,np,np,np,can get from Fig 4 if average over time,didn't check,NA,np,np,np,np,np,np,raw daily light and porewater NH4 data available; unclear direction of effect on NH4 and Zm response,NA,light,field manipulation,"yes - but not using correlated env as of now, would need to extract",NA,NA,NA,4.4,Kim et al.,2015,34.48,128.35,4.4,8.2,2004-01-01
47,"Svenstrup Beach, Funen, Denmark",HL + no mussel,2013-02 (~ 2 weeks acclimation),6,891.1651729 / (1 m2),5.4,12,12,np,np,574 ± 289,µmol photos m-2 s-1,np,calculate,14.4,13.4 ± 0.8,np,np,np,np,18.5 ± 1.7 µg / L,np,np,11.5 ± 7.7 µmol / L,didn't check,NA,np,np,np,np,np,1.06 ± 0.22 µmol / cm3,porewater NH4: 638 ± 71 µmol / L; sulphides are sediment sulphides; used initial shoot density for planting density,NA,light,lab mesocosm,no,574,NA,12,NA,Castorani et al.,2015,55.46861111,9.75472222,24.7968,14.4,2013-02-01
47,"Svenstrup Beach, Funen, Denmark",HL + mussel,2013-02 (~ 2 weeks acclimation),6,891.1651729 / (1 m2),5.4,12,12,np,np,574 ± 289,µmol photos m-2 s-1,np,calculate,14.4,13.4 ± 0.8,np,np,np,np,18.5 ± 1.7 µg / L,np,np,11.5 ± 7.7 µmol / L,didn't check,NA,np,np,np,np,np,2.13 ± 0.13 µmol / cm3,porewater NH4: 1290 ± 52 µmol / L; sulphides are sediment sulphides,NA,light; mussels,lab mesocosm,no,574,NA,12,NA,Castorani et al.,2015,55.46861111,9.75472222,24.7968,14.4,2013-02-01
47,"Svenstrup Beach, Funen, Denmark",LL + no mussel,2013-02 (~ 2 weeks acclimation),6,891.1651729 / (1 m2),5.4,12,12,np,np,97 ± 70,µmol photos m-2 s-1,np,calculate,14.4,13.4 ± 0.8,np,np,np,np,18.5 ± 1.7 µg / L,np,np,11.5 ± 7.7 µmol / L,didn't check,NA,np,np,np,np,np,1.10 ± 0.19 µmol / cm3,porewater NH4: 1251 ± 108 µmol / L; sulphides are sediment sulphides,NA,light,lab mesocosm,no,97,NA,12,NA,Castorani et al.,2015,55.46861111,9.75472222,4.1904,14.4,2013-02-01
47,"Svenstrup Beach, Funen, Denmark",LL + mussel,2013-02 (~ 2 weeks acclimation),6,891.1651729 / (1 m2),5.4,12,12,np,np,97 ± 70,µmol photos m-2 s-1,np,calculate,14.4,13.4 ± 0.8,np,np,np,np,18.5 ± 1.7 µg / L,np,np,11.5 ± 7.7 µmol / L,didn't check,NA,np,np,np,np,np,1.56 ± 0.37 µmol / cm3,porewater NH4: 1350 ± 160 µmol / L; sulphides are sediment sulphides,NA,light; mussels,lab mesocosm,no,97,NA,12,NA,Castorani et al.,2015,55.46861111,9.75472222,4.1904,14.4,2013-02-01
107,"Great Bay, New Hampshire, USA (seedlings)",11% SI,2003-05 (22 day acclimation),3,30 / (1 m2),500,field conditions,field conditions,334 ± 26 SE,µmol photos m-2 s-1,calculate,np,11,calculate,mean (june and july): 20.5 ± 0.5; range: 11.2 - 28.4,np,np,np,np,np,np,np,np,np,didn't check,NA,np,np,np,np,np,np,used average june/july/august SI and took max SE,NA,light,outdoor mesocosm,yes - but only one response sample time point,36.74,334,NA,NA,Ochieng et al.,2010,43.0833333,-70.833333,NA,20.5,2003-05-01
107,"Great Bay, New Hampshire, USA (seedlings)",34% SI,2003-05 (22 day acclimation),3,30 / (1 m2),500,field conditions,field conditions,334 ± 26 SE,µmol photos m-2 s-1,calculate,np,34,calculate,mean (june and july): 20.5 ± 0.5; range: 11.2 - 28.4,np,np,np,np,np,np,np,np,np,didn't check,NA,np,np,np,np,np,np,used average june/july/august SI and took max SE,NA,light,outdoor mesocosm,yes - but only one response sample time point,113.56,334,NA,NA,Ochieng et al.,2010,43.0833333,-70.833333,NA,20.5,2003-05-01
107,"Great Bay, New Hampshire, USA (seedlings)",58% SI,2003-05 (22 day acclimation),3,30 / (1 m2),500,field conditions,field conditions,334 ± 26 SE,µmol photos m-2 s-1,calculate,np,58,calculate,mean (june and july): 20.5 ± 0.5; range: 11.2 - 28.4,np,np,np,np,np,np,np,np,np,didn't check,NA,np,np,np,np,np,np,used average june/july/august SI and took max SE,NA,light,outdoor mesocosm,yes - but only one response sample time point,193.72,334,NA,NA,Ochieng et al.,2010,43.0833333,-70.833333,NA,20.5,2003-05-01
107,"Great Bay, New Hampshire, USA (seedlings)",100% SI,2003-05 (22 day acclimation),3,30 / (1 m2),500,field conditions,field conditions,334 ± 26 SE,µmol photos m-2 s-1,calculate,np,100,calculate,mean (june and july): 20.5 ± 0.5; range: 11.2 - 28.4,np,np,np,np,np,np,np,np,np,didn't check,NA,np,np,np,np,np,np,used average june/july/august SI and took max SE,NA,light,outdoor mesocosm,yes - but only one response sample time point,334,334,NA,NA,Ochieng et al.,2010,43.0833333,-70.833333,NA,20.5,2003-05-01
123,"Svenstrup Strand, Lillebælt, Denmark",control - no mussel deposit,2004-08 (2 week acclimation),3,25 / (0.03125 m2),5,12,12,200,µmol photos m-2 s-1,np,np,no,calculate,15,range: 17 - 20,np,np,np,np,164 ± 19.2 µmol / L SE,np,np,777 ± 71 µmol / L SE,didn't check,NA,157 ± 21 µmol / L SE,np,np,0.1 ± 0.005,np,3.9 ± 3.2 µmol / L SE,chemicals were porewater; NO2: 19.4 ± 9.7 µmol / L SE; DOC range: 4.0 - 4.5 mg / L,NA,control,lab mesocosm,no,NA,200,12,NA,Vinther_Holmer,2008,58.466667,9.75,8.64,15,2004-08-01
123,"Svenstrup Strand, Lillebælt, Denmark",normal - mussel deposit,2004-08 (2 week acclimation),3,25 / (0.03125 m2),5,12,12,200,µmol photos m-2 s-1,np,np,no,calculate,15,range: 17 - 20,np,np,np,np,205 ± 13.8 µmol / L SE,np,np,1154 ± 136  µmol / L SE,didn't check,NA,195 ± 30 µmol / L SE,np,np,0.13 ± 0.009,np,9.9 ± 2.5 µmol / L SE,chemicals were porewater; NO2: 8.7 ± 4.1 µmol / L SE; DOC range: 2.8 - 4.6 mg / L,NA,light; mussels,lab mesocosm,no,NA,200,12,NA,Vinther_Holmer,2008,58.466667,9.75,8.64,15,2004-08-01
123,"Svenstrup Strand, Lillebælt, Denmark",high - mussel deposit,2004-08 (2 week acclimation),3,25 / (0.03125 m2),5,12,12,200,µmol photos m-2 s-1,np,np,no,calculate,15,range: 17 - 20,np,np,np,np,148 ± 7.9 µmol / L SE,np,np,1231 ± 157  µmol / L SE,didn't check,NA,240. ± 41 µmol / L SE,np,np,0.30 ± 0.019,np,27.1  ± 3.6 µmol / L SE,chemicals were porewater; NO2: 6.5 ± 2.8 µmol / L SE; DOC range: 2.8 - 4.6 mg / L,NA,light; mussels,lab mesocosm,no,NA,200,12,NA,Vinther_Holmer,2008,58.466667,9.75,8.64,15,2004-08-01
123,"Svenstrup Strand, Lillebælt, Denmark",C,2004-08 (2 week acclimation),3,25 / (0.028952918 m2),7,12,12,200,µmol photos m-2 s-1,np,np,no,calculate,15,15,np,np,np,np,np,np,np,0,didn't check,NA,np,np,np,0,np,np,assume that light/temp are same as  deposit experiment values,water velocity: 7 L / day,control,lab mesocosm,no,NA,200,12,NA,Vinther_Holmer,2008,58.466667,9.75,8.64,15,2004-08-01
123,"Svenstrup Strand, Lillebælt, Denmark",M+,2004-08 (2 week acclimation),3,25 / (0.028952918 m2),7,12,12,200,µmol photos m-2 s-1,np,np,no,calculate,15,15,np,np,np,np,np,648 µmol / day,np,3 µM,didn't check,NA,np,np,np,0,np,np,assume that light/temp are same as  deposit experiment values,water velocity: 400 L / day; mussel excretion water,mussels; water velocity,lab mesocosm,no,NA,200,12,NA,Vinther_Holmer,2008,58.466667,9.75,8.64,15,2004-08-01
123,"Svenstrup Strand, Lillebælt, Denmark",C+,2004-08 (2 week acclimation),3,25 / (0.028952918 m2),7,12,12,200,µmol photos m-2 s-1,np,np,no,calculate,15,15,np,np,np,np,np,np,np,1 µM,didn't check,NA,np,np,np,0,np,np,assume that light/temp are same as  deposit experiment values,water velocity: 400 L / day,contro; water velocity,lab mesocosm,no,NA,200,12,NA,Vinther_Holmer,2008,58.466667,9.75,8.64,15,2004-08-01
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 16 CO2,2000-09 (5 month acclimation; without light limitations I think; use summer),4,4 / (4 L),4000,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,np,np,33,calculate,seasonal - field conditions,mean: 35; range: 34 - 37,NA,np,np,np,np,np,np,np,didn't check,NA,np,np,may be able to extract,np,np,np,NA,NA,light; CO2,outdoor mesocosm,yes,NA,NA,NA,NA,Palacios_Zimmerman,2007,36.8153,-121.7658,NA,NA,2000-09-01
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 36 CO2,2000-09 (5 month acclimation; without light limitations I think; use summer),4,4 / (4 L),4000,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,np,np,33,calculate,seasonal - field conditions,mean: 35; range: 34 - 37,NA,np,np,np,np,np,np,np,didn't check,NA,np,np,may be able to extract,np,np,np,NA,NA,light; CO2,outdoor mesocosm,yes,NA,NA,NA,NA,Palacios_Zimmerman,2007,36.8153,-121.7658,NA,NA,2000-09-01
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 85 CO2,2000-09 (5 month acclimation; without light limitations I think; use summer),4,4 / (4 L),4000,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,np,np,33,calculate,seasonal - field conditions,mean: 35; range: 34 - 37,NA,np,np,np,np,np,np,np,didn't check,NA,np,np,may be able to extract,np,np,np,NA,NA,light; CO2,outdoor mesocosm,yes,NA,NA,NA,NA,Palacios_Zimmerman,2007,36.8153,-121.7658,NA,NA,2000-09-01
147,"Seal Bend, Elkhorn Slough, CA, USA",ambient L + 1123 CO2,2000-09 (5 month acclimation; without light limitations I think; use summer),4,4 / (4 L),4000,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,np,np,33,calculate,seasonal - field conditions,mean: 35; range: 34 - 37,NA,np,np,np,np,np,np,np,didn't check,NA,np,np,may be able to extract,np,np,np,NA,NA,light; CO2,outdoor mesocosm,yes,NA,NA,NA,NA,Palacios_Zimmerman,2007,36.8153,-121.7658,NA,NA,2000-09-01
147,"Seal Bend, Elkhorn Slough, CA, USA",low L + 16 CO2,2000-09 (5 month acclimation; without light limitations I think; use summer),4,4 / (4 L),4000,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,np,np,5,calculate,seasonal - field conditions,mean: 35; range: 34 - 37,8.1,np,np,np,np,np,np,np,didn't check,NA,np,np,may be able to extract,np,np,np,NA,NA,light; CO2,outdoor mesocosm,yes,NA,NA,NA,NA,Palacios_Zimmerman,2007,36.8153,-121.7658,NA,NA,2000-09-01
147,"Seal Bend, Elkhorn Slough, CA, USA",low L + 36 CO2,2000-09 (5 month acclimation; without light limitations I think; use summer),4,4 / (4 L),4000,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,np,np,5,calculate,seasonal - field conditions,mean: 35; range: 34 - 37,7.75,np,np,np,np,np,np,np,didn't check,NA,np,np,may be able to extract,np,np,np,NA,NA,light; CO2,outdoor mesocosm,yes,NA,NA,NA,NA,Palacios_Zimmerman,2007,36.8153,-121.7658,NA,NA,2000-09-01
147,"Seal Bend, Elkhorn Slough, CA, USA",low L + 85 CO2,2000-09 (5 month acclimation; without light limitations I think; use summer),4,4 / (4 L),4000,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,np,np,5,calculate,seasonal - field conditions,mean: 35; range: 34 - 37,7.5,np,np,np,np,np,np,np,didn't check,NA,np,np,may be able to extract,np,np,np,NA,NA,light; CO2,outdoor mesocosm,yes,NA,NA,NA,NA,Palacios_Zimmerman,2007,36.8153,-121.7658,NA,NA,2000-09-01
147,"Seal Bend, Elkhorn Slough, CA, USA",low L + 1123 CO2,2000-09 (5 month acclimation; without light limitations I think; use summer),4,4 / (4 L),4000,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,np,np,5,calculate,seasonal - field conditions,mean: 35; range: 34 - 37,6.2,np,np,np,np,np,np,np,didn't check,NA,np,np,may be able to extract,np,np,np,NA,NA,light; CO2,outdoor mesocosm,yes,NA,NA,NA,NA,Palacios_Zimmerman,2007,36.8153,-121.7658,NA,NA,2000-09-01
152,"Koje Bay, South Korea",Koje,seasonal data,5,163.6 / (1 m2),field exp,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,yes,np,np,calculate,seasonal - field conditions,np,np,np,np,np,Figure 4,np,np,Figure 4,didn't check,NA,Figure 4,np,np,Figure 5,np,np,could extract nutrient and organic from figures,NA,no manipulation,field observation,yes,NA,NA,NA,NA,Lee et al.,2005,34.48,128.35,NA,NA,NA
152,"Kosung Bay, South Korea",Kosung,seasonal data,5,85.9 / (1 m2),field exp,seasonal - field conditions,seasonal - field conditions,seasonal - field conditions,mol photos m-2 d-1,yes,np,np,calculate,seasonal - field conditions,np,np,np,np,np,Figure 4,np,np,Figure 4,didn't check,NA,Figure 4,np,np,Figure 5,np,np,could extract nutrient and organic from figures,NA,no manipulation,field observation,yes,NA,NA,NA,NA,Lee et al.,2005,34.883,128.33,NA,NA,NA
135,"Middle Marsh, Back Sound, North Carolina, USA",control,1994-04 (4 month acclimation; no light limitation),3,mean: 675 /(1 m2); range: 650 to 700 / (1 m2),NA,seasonal - field conditions,seasonal - field conditions,impute seasonal values,µmol photos m-2 s-1,yes,np,np,calculate,impute seasonal values,impute seasonal values,impute seasonal values,np,np,np,impute seasonal,np,np,impute seasonal,didn't check,NA,impute seasonal,np,np,np,np,np,"nutrient values given for water column, but sediment porewater values also in paper; see paragraph in intro discussing ""45-80% of the N needed"" is taken from water column rather than pore water",NA,control,outdoor mesocosm,yes - imputed,NA,NA,NA,NA,Touchette_Burkholder,2007,34.69392,-76.55428,NA,NA,1994-04-01
135,"Middle Marsh, Back Sound, North Carolina, USA",HT,1994-04 (4 month acclimation; no light limitation),3,mean: 675 /(1 m2); range: 650 to 700 / (1 m2),NA,seasonal - field conditions,seasonal - field conditions,impute seasonal values,µmol photos m-2 s-1,yes,np,np,calculate,impute seasonal values,impute seasonal values,impute seasonal values,np,np,np,impute seasonal,np,np,NA,didn't check,NA,impute seasonal,np,np,np,np,np,"nutrient values given for water column, but sediment porewater values also in paper; see paragraph in intro discussing ""45-80% of the N needed"" is taken from water column rather than pore water",NA,temperature,outdoor mesocosm,yes - imputed,NA,NA,NA,NA,Touchette_Burkholder,2007,34.69392,-76.55428,NA,NA,1994-04-01
135,"Middle Marsh, Back Sound, North Carolina, USA",HN,1994-04 (4 month acclimation; no light limitation),3,mean: 675 /(1 m2); range: 650 to 700 / (1 m2),NA,seasonal - field conditions,seasonal - field conditions,impute seasonal values,µmol photos m-2 s-1,yes,np,np,calculate,impute seasonal values,impute seasonal values,impute seasonal values,np,np,np,impute seasonal,np,np,impute seasonal,didn't check,NA,impute seasonal,np,np,np,np,np,"nutrient values given for water column, but sediment porewater values also in paper; see paragraph in intro discussing ""45-80% of the N needed"" is taken from water column rather than pore water",NA,nutrients,outdoor mesocosm,yes - imputed,NA,NA,NA,NA,Touchette_Burkholder,2007,34.69392,-76.55428,NA,NA,1994-04-01
135,"Middle Marsh, Back Sound, North Carolina, USA",HT + HN,1994-04 (4 month acclimation; no light limitation),3,mean: 675 /(1 m2); range: 650 to 700 / (1 m2),NA,seasonal - field conditions,seasonal - field conditions,impute seasonal values,µmol photos m-2 s-1,yes,np,np,calculate,impute seasonal values,impute seasonal values,impute seasonal values,np,np,np,impute seasonal,np,np,impute seasonal,didn't check,NA,impute seasonal,np,np,np,np,np,"nutrient values given for water column, but sediment porewater values also in paper; see paragraph in intro discussing ""45-80% of the N needed"" is taken from water column rather than pore water",NA,nutrients; temperature,outdoor mesocosm,yes - imputed,NA,NA,NA,NA,Touchette_Burkholder,2007,34.69392,-76.55428,NA,NA,1994-04-01
186,"Friedrichsort, Kiel Fjord, Germany",control - low shoot,1994-05 (8 month field study; mostly in summer months; use summer),4,7 / (0.5 m2),field exp,np,np,np,np,yes,mol photos m-2 d-1,NA,mean: 14.0  ±1.4; range: 3.12 - 27.5,mean: 21; range: 18 - 24,mean: 16.5; range: 13 - 20,np,np,np,np,np,np,np,mean: 24 µmol / L,didn't check,NA,mean: 5.2 µmol / L,medium,np,0.42 ± 0.1,np,np,nutrient values given for porewater - looks like experiment focused on changing porewater; but water column values are provided in table 1,shoot density,control; shoot density,field manipulation,NA,NA,NA,NA,14,Worm_Reusch,2000,54.38333,10.2,14,21,1994-05-01
186,"Friedrichsort, Kiel Fjord, Germany",fertilized - low shoot,1994-05 (8 month field study; mostly in summer months; use summer),4,7 / (0.5 m2),field exp,np,np,np,np,yes,mol photos m-2 d-1,NA,mean: 14.0  ±1.4; range: 3.12 - 27.5,mean: 21; range: 18 - 24,mean: 16.5; range: 13 - 20,np,np,np,np,np,np,np,mean: 123 µmol / L,didn't check,NA,mean: 21.3 µmol / L,medium,np,0.42 ± 0.1,np,np,nutrient values given for porewater - looks like experiment focused on changing porewater; but water column values are provided in table 1; calculated nutrients by multiplying mean percent increase by mean control concentrations,shoot density,nutrients; shoot density,field manipulation,NA,NA,NA,NA,14,Worm_Reusch,2000,54.38333,10.2,14,21,1994-05-01
186,"Friedrichsort, Kiel Fjord, Germany",mussels - low shoot,1994-05 (8 month field study; mostly in summer months; use summer),4,7 / (0.5 m2),field exp,np,np,np,np,yes,mol photos m-2 d-1,NA,mean: 14.0  ±1.4; range: 3.12 - 27.5,mean: 21; range: 18 - 24,mean: 16.5; range: 13 - 20,np,np,np,np,np,np,np,mean: 40 µmol / L,didn't check,NA,mean: 9.2 µmol / L,medium,np,0.42 ± 0.1,np,np,nutrient values given for porewater - looks like experiment focused on changing porewater; but water column values are provided in table 1; calculated nutrients by multiplying mean percent increase by mean control concentrations,shoot density; added mussels,mussels; shoot density,field manipulation,NA,NA,NA,NA,14,Worm_Reusch,2000,54.38333,10.2,14,21,1994-05-01
186,"Friedrichsort, Kiel Fjord, Germany",control - high shoot,1994-05 (8 month field study; mostly in summer months; use summer),4,19 / (0.5 m2),field exp,np,np,np,np,yes,mol photos m-2 d-1,NA,mean: 14.0  ±1.4; range: 3.12 - 27.5,mean: 21; range: 18 - 24,mean: 16.5; range: 13 - 20,np,np,np,np,np,np,np,mean: 24 µmol / L,didn't check,NA,mean: 5.2 µmol / L,medium,np,0.42 ± 0.1,np,np,nutrient values given for porewater - looks like experiment focused on changing porewater; but water column values are provided in table 1,shoot density,control; shoot density,field manipulation,NA,NA,NA,NA,14,Worm_Reusch,2000,54.38333,10.2,14,21,1994-05-01
186,"Friedrichsort, Kiel Fjord, Germany",fertilized - high shoot,1994-05 (8 month field study; mostly in summer months; use summer),4,19 / (0.5 m2),field exp,np,np,np,np,yes,mol photos m-2 d-1,NA,mean: 14.0  ±1.4; range: 3.12 - 27.5,mean: 21; range: 18 - 24,mean: 16.5; range: 13 - 20,np,np,np,np,np,np,np,mean: 123 µmol / L,didn't check,NA,mean: 21.3 µmol / L,medium,np,0.42 ± 0.1,np,np,nutrient values given for porewater - looks like experiment focused on changing porewater; but water column values are provided in table 1; calculated nutrients by multiplying mean percent increase by mean control concentrations,shoot density,nutrients; shoot density,field manipulation,NA,NA,NA,NA,14,Worm_Reusch,2000,54.38333,10.2,14,21,1994-05-01
186,"Friedrichsort, Kiel Fjord, Germany",mussels - high shoot,1994-05 (8 month field study; mostly in summer months; use summer),4,19 / (0.5 m2),field exp,np,np,np,np,yes,mol photos m-2 d-1,NA,mean: 14.0  ±1.4; range: 3.12 - 27.5,mean: 21; range: 18 - 24,mean: 16.5; range: 13 - 20,np,np,np,np,np,np,np,mean: 40 µmol / L,didn't check,NA,mean: 9.2 µmol / L,medium,np,0.42 ± 0.1,np,np,nutrient values given for porewater - looks like experiment focused on changing porewater; but water column values are provided in table 1; calculated nutrients by multiplying mean percent increase by mean control concentrations,shoot density; added mussels,mussels; shoot density,field manipulation,NA,NA,NA,NA,14,Worm_Reusch,2000,54.38333,10.2,14,21,1994-05-01
192,"Lake Grevelingen, The Netherlands",sal: 22 sil: 70; 1996,1996-05 (no acclimation time indicated),12,1 / (0.071 m2),35.3 L,14,10,mean: 335; range: 210 - 410,µmol photos m-2 s-1,np,np,np,calculate,light temp: 18; dark temp: 14,22,np,np,np,np,np,10 µM,np,~ 10 µM,didn't check,NA,added: 5 µM,2 mm,np,np,np,np,"sample size used from Figure 6, methods numbers don't make sense",silicon addition,salinity; silicon,lab mesocosm,NA,NA,335,14,NA,Kamermans et al.,1999,51.6692409,4.0893405,16.884,18,1996-05-01
192,"Lake Grevelingen, The Netherlands",sal:32 sil: 70; 1996,1996-05 (no acclimation time indicated),12,1 / (0.071 m2),35.3 L,14,10,mean: 335; range: 210 - 410,µmol photos m-2 s-1,np,np,np,calculate,light temp: 18; dark temp: 14,32,np,np,np,np,np,10 µM,np,~ 10 µM,didn't check,NA,added: 5 µM,2 mm,np,np,np,np,"sample size used from Figure 6, methods numbers don't make sense",silicon addition,salinity; silicon,lab mesocosm,NA,NA,335,14,NA,Kamermans et al.,1999,51.6692409,4.0893405,16.884,18,1996-05-01
192,"Lake Grevelingen, The Netherlands",sil: 5 sal:30,1996-08 (no acclimation time indicated),12,1 / (0.071 m2),35.3 L,14,10,mean: 335; range: 210 - 410,µmol photos m-2 s-1,np,np,np,calculate,light temp: 18; dark temp: 14,30,np,np,np,np,np,10 µM,np,~ 10 µM,didn't check,NA,added: 5 µM and 2.5 µM,2 mm,np,np,np,np,"sample size used from Figure 6, methods numbers don't make sense",none,salinity,lab mesocosm,NA,NA,335,14,NA,Kamermans et al.,1999,51.6692409,4.0893405,16.884,18,1996-08-01
192,"Lake Grevelingen, The Netherlands",sil: 70 sal:30,1996-08 (no acclimation time indicated),12,1 / (0.071 m2),35.3 L,14,10,mean: 335; range: 210 - 410,µmol photos m-2 s-1,np,np,np,calculate,light temp: 18; dark temp: 14,30,np,np,np,np,np,10 µM,np,~ 10 µM,didn't check,NA,added: 5 µM and 2.5 µM,2 mm,np,np,np,np,"sample size used from Figure 6, methods numbers don't make sense",silicon addition,salinity; silicon,lab mesocosm,NA,NA,335,14,NA,Kamermans et al.,1999,51.6692409,4.0893405,16.884,18,1996-08-01
192,"Lake Grevelingen, The Netherlands",sal:22 sil: 5,1997-06 (no acclimation time indicated),6,1 / (0.071 m2),35.3 L,14,10,mean: 335; range: 210 - 410,µmol photos m-2 s-1,np,np,np,calculate,light temp: 18; dark temp: 14,22,np,np,np,np,np,10 µM,np,~ 10 µM,didn't check,NA,added: 0.625 µM,2 mm,np,np,np,np,"sample size used from Figure 6, methods numbers don't make sense",none,salinity,lab mesocosm,NA,NA,335,14,NA,Kamermans et al.,1999,51.6692409,4.0893405,16.884,18,1997-06-01
192,"Lake Grevelingen, The Netherlands",sal:32 sil: 5,1997-06 (no acclimation time indicated),6,1 / (0.071 m2),35.3 L,14,10,mean: 335; range: 210 - 410,µmol photos m-2 s-1,np,np,np,calculate,light temp: 18; dark temp: 14,32,np,np,np,np,np,10 µM,np,~ 10 µM,didn't check,NA,added: 0.625 µM,2 mm,np,np,np,np,"sample size used from Figure 6, methods numbers don't make sense",none,salinity,lab mesocosm,NA,NA,335,14,NA,Kamermans et al.,1999,51.6692409,4.0893405,16.884,18,1997-06-01
192,"Lake Grevelingen, The Netherlands",sal:22 sil: 70; 1997,1997-06 (no acclimation time indicated),6,1 / (0.071 m2),35.3 L,14,10,mean: 335; range: 210 - 410,µmol photos m-2 s-1,np,np,np,calculate,light temp: 18; dark temp: 14,22,np,np,np,np,np,10 µM,np,~ 10 µM,didn't check,NA,added: 0.625 µM,2 mm,np,np,np,np,"sample size used from Figure 6, methods numbers don't make sense",silicon addition,salinity; silicon,lab mesocosm,NA,NA,335,14,NA,Kamermans et al.,1999,51.6692409,4.0893405,16.884,18,1997-06-01
192,"Lake Grevelingen, The Netherlands",sal:32 sil: 70; 1997,1997-06 (no acclimation time indicated),6,1 / (0.071 m2),35.3 L,14,10,mean: 335; range: 210 - 410,µmol photos m-2 s-1,np,np,np,calculate,light temp: 18; dark temp: 14,32,np,np,np,np,np,10 µM,np,~ 10 µM,didn't check,NA,added: 0.625 µM,2 mm,np,np,np,np,"sample size used from Figure 6, methods numbers don't make sense",silicon addition,salinity; silicon,lab mesocosm,NA,NA,335,14,NA,Kamermans et al.,1999,51.6692409,4.0893405,16.884,18,1997-06-01
205,"Goes, The Netherlands; Wadden Sea",T:15 NH4: 25 NO3: 25,1992-10 (3 week acclimation),4,np,np,16,8,90,µmol photos m-2 s-1,np,np,np,calculate,15,25.4,8.5,np,25 µM,25 µM,could extract from Figure 3,25 µM,25 µM,10 µM,didn't check,NA,np,sand and mud pooled,np,np,0.35 µM,17.7 mM,"sample size was confusing, looks like many plants died during the 3 week acclimation/transplant into the mesocosms","tested sand and mud, but results were similar enough they seemed to pool them; there were however effects of the sediments noted in the text",temperature; nutrients,lab mesocosm,NA,NA,90,16,NA,van_Katwijk et al.,1997,51.533333,3.833333,5.184,15,1992-10-01
